AUTONOMY,Subordination,Slavery,Dependence,Submissiveness,C,
RECEDE,Rush,Advance,Approach,Forward,B,
TRAGEDY,Humorous,Comedy,Romance,calamity,B,
KINDLE,Ignite,Encourage,Ignore,Extinguish,D,
SHALLOW,High,Hidden,Deep,Hollow,C,
Lenient,Obstinate,Annoyed,Rude,Harsh,D,
ASSERT,Agree,Aquiesce,Abjure,Abdicate,B,
OVERT,Deep,Shallow,Secret,Unwritten,C,
ALIVE,Passive,dead,Asleep,Drowsy,B,
ACCORD,Solution,Act,Dissent,Concord,C,
START,Close,shut,end,finish,C,
ANCESTORS,Supporters,Discipline,Followers,Descendanta,D,
ENDOW,Borrow,Steal,Snatch,Extort,A,
SYNTHETIC,Cosmetic,Plastic,Affable,Natural,D,
BLISS,Anguish,Sorrow,Agony,Suffering,B,
SPREAD,Subdue,Repress,Suppress,Contract,D,
PRECARIOUS,Dangerous,Safe,Cautious,easy,B,
PROFANE,Arrogant,Benign,Respectful,Pious,D,
MISERLY,Hospitable,Generous,Extravagant,Philanthropic,D,
DEEP,Elementary,Superficial,Shallow,Perfunctory,C,
OBSTINATE,Inflexible,Prominent,Pliable,Fashionable,C,
UNSABLE,Changing,Constant,Stagnant,Steady,D,
VALIDATE,Legalise,Spurious,Authenticate,Disprove,D,
LEND,Hire,Pawn,Cheat,Borrow,D,
JUDICIOUS,Unequal,Unlawful,Impure,Indiscreet,D,
JUXTAPOSITION,Difference ,Opposition,Seperation,Apropriateness,C,
PAUCITY,surplus,scarcity,presence,richeness,A,
OFFER,beg,borrow,snatch,request,D,
BURY,examine,open,disinter,dig,C,
MINOR,Heavy,tall,major,big,C,
LUSCIOUS,dry,sour,ugly,stale,B,
AMELIORATE,lessen,hasten,expedite,worsen,D,
GORGEOUS,desperate,plain,fashionable,sumptuous,B,
FORMER,subsequent,later,resultant,latter,D,
IMPERVIOUS,penetrable,hidden,tolerable,gentle,A,
APPROPRIATE,unskilled,unsuitable,unqualified,unable,B,
RETRIEVE,respond,dismiss,foil,abandon,D,
RABID,decent,fair,rational,pure,C,
OPAQUE,misty,covered,clear,transparent,D,
FRATERNITY,hospitability,hostility,brotherhood,enmity,B,
PRETENTIOUS,deranged,small,depressing,humble,D,
MAWKISH,sentimental,intelligent,certain,carefree,B,
RUTHLESS,mindful,compassionate,majestice,merciful,D,
ABDICATE,claim,snatch,plunder,seize,A,
DECEIT,reality,trust,thruthfulness,fact,C,
VIOLENT,tame,humble,gentle,harmless,C,
ABHORRENCE,aversion,liking,appreciation,fear,B,
PARSIMONIOUS,generous,frugal,crude,stingy,A,
DEARTH,extravagance,scarcity,abundance,sufficiency,C,
COMIC,painful,fearful,tragic,emotional,C,
TRANSPARENT,coloured,childlike,opaque,imminent,C,
PRIDE,humility,shame,humbleness,debasement,A,
ACQUISITIVE,miserly,frugal,simple,austere,D,
URBAN,country-made,pastoral,provinvial,rural,D,
BLATANT,noisy,quient,barren,slow,B,
PRIM,rash,extravagnt,foul,shameful,A,
EXHIBIT,conceal,prevent,withdraw,concede,A,
SALVAGE,outfit,lose,burn,remove,B,
KEEN,dull,rogue,ardent,shrewd,A,
HAUGHTY,pitiable,scared,humbleness,cowardly,C,
UNDERTAKING,resignation,trial,refusal,denial,C,
AUDACIOUS,timid,vulgar,low,unpractised,A,
ENOUGH,inadequate,scared,deficit,less,A,
VIRTUE,vice,fraud,wickedness,crime,A,
ZEAL,hostility,diffidence,apathy,contempt,C,
SYMPATHY,enmity,cruelty,abhorrence,apathy,D,
ERUDITE,professional,immature,unimaginative,ignorant,D,
HAPLESS,lucky,kind,helpful,futile,A,
HAPPINESS,contentment,grief,renunciation,beatitude,B,
ACQUITTED,entrusted,convicte,burdened,freed,B,
VULGAR,refiend,cgeerful,jolly,relevant,A,
THRIFT,purchase,destroy,waste,invest,C,
LACONIC,prolix,profilgate,prolific,bucolic,A,
QUERULOUS,bright,splendid,smart,happy,D,
ABSOLUTE,scare,limited,faulty,deficient,B,
TRUMPERY,defeat,wastage,treasure,vague,C,
MAGNIFY,induce,diminish,destroy,shrink,B,
DISSENT,agreement,dispute,disunity,controversy,A,
CELIBACY,chastity,misogyny,matrimony,divorce,C,
BOOST,hinder,obstruct,discourage,rebuke,A,
IMPROPRIETY,decorum,purity,ideal,conformity,A,
UNSULLIED,visible,foul,stainless,strong,B,
SMOOTH,ugly,awkward,hard,rough,D,
NERVOUS,bold,doubtful,timid,shrewish,A,
ACUTE,sharp,critical,dull,sensitive,C,
BASE,roof,height,top,climax,C,
DISSUADE,incite,persuade,advice,instigate,B,
NAÏVE,cunning,wealthy,sophisticated,complicated,C,
MOIST,parched,dry,hard,crisp,B,
ANATHEMATISE,radiate,regulate,deceive,bless,D,
FECUND,barren,solid,unploghed,hard,A,
DEMON,charitable,kind-hearted,angel,fair-minded,C,
VANQUISH,surrender,debase,destroy,ruin,A,
BELIE,argue,justify,admire,approve,B,
DELETE,impound,insert,inspire,injure,B,
DESPONDENCY,humility,pleasure,cheerfulness,excitement,C,
MISERLY,liberal,spendthrift,charitable,generous,D,
DISCOUNT,interest,premium,profit,concession,B,
VOLUNTARY,ordered,alternative,compulsary,essential,C,
ONEROUS,straight-forward,easy,complex,plain,B,
